id,title,url,is_paid,num_subscribers,avg_rating,avg_rating_recent,rating,num_reviews,is_wishlisted,num_published_lectures,num_published_practice_tests,created,published_time,discount_price__amount,discount_price__currency,discount_price__price_string,price_detail__amount,price_detail__currency,price_detail__price_string
1129274,FOREX TRADING for Beginners - Level 1 Forex Trading Course,/course/complete-beginners-guide-to-forex-trading/,True,5618,3.90625,3.79352,3.79352,181,False,28,0,2017-02-27T19:30:33Z,2017-10-06T00:41:07Z,455.0,INR,₹455,1280.0,INR,"₹1,280"
1151092,Options Trading - Calendar Spread Course for Every Trader,/course/options-trading-calendar-spread-course-for-every-trader/,True,1317,4.05,4.10319,4.10319,40,False,17,0,2017-03-20T01:54:27Z,2017-04-02T21:46:00Z,455.0,INR,₹455,8640.0,INR,"₹8,640"
1154162,Ultimate Guide to Stock Market Passive Income,/course/ultimate-guide-to-stock-market-passive-income/,True,3354,4.4,4.39534,4.39534,101,False,21,0,2017-03-22T16:08:13Z,2017-04-27T21:07:20Z,,,,1280.0,INR,"₹1,280"
1172410,Business strategy 101 - awake the strategist within you,/course/business-strategy-101/,True,75,3.4,3.32754,3.32754,5,False,11,0,2017-04-07T09:34:55Z,2017-04-11T00:46:13Z,455.0,INR,₹455,1280.0,INR,"₹1,280"
1236026,How to Communicate and Work With People from Other Cultures,/course/intercultural-business-communication/,True,44,4.45,4.42499,4.42499,13,False,21,0,2017-05-31T04:18:24Z,2017-06-15T18:51:50Z,,,,4480.0,INR,"₹4,480"
1248830,Product Management for Absolute Beginners,/course/product-management-frameworks-for-absolute-beginners/,True,1189,4.25,4.15237,4.15237,42,False,15,0,2017-06-10T16:23:56Z,2017-07-26T17:52:58Z,455.0,INR,₹455,1280.0,INR,"₹1,280"
1250218,Data Analysis Black Magic with Excel,/course/data-analysis-black-magic-with-excel/,True,93,4.1,3.97453,3.97453,12,False,16,0,2017-06-11T22:44:17Z,2017-06-22T22:12:28Z,455.0,INR,₹455,2240.0,INR,"₹2,240"
1273408,Haz crecer tus ahorros exponencialmente,/course/haz-crecer-tus-ahorros-exponencialmente/,True,165,4.35,4.35368,4.35368,61,False,38,0,2017-06-29T13:40:53Z,2017-09-23T16:13:32Z,455.0,INR,₹455,1920.0,INR,"₹1,920"
1355028,Financial Modelling Workshop,/course/financial-modelling-workshop/,True,103,4.25,4.19682,4.19682,25,False,11,0,2017-09-19T14:46:50Z,2017-09-22T21:10:12Z,,,,12800.0,INR,"₹12,800"
1362218,"Leadership: How to Influence, Inspire and Impact as a Leader",/course/leadership-influence-everyone/,True,13088,4.39762,4.38683,4.38683,4290,False,57,0,2017-09-27T03:12:22Z,2017-10-03T22:28:42Z,455.0,INR,₹455,8640.0,INR,"₹8,640"
1365096,Sales Skills Mastery 2:  The Ultimate Sales Shortcuts,/course/sales-skills-success-vol-2-the-ultimate-selling-shortcuts/,True,2995,4.9,4.88591,4.88591,74,False,30,0,2017-09-29T21:04:26Z,2017-10-26T21:40:31Z,455.0,INR,₹455,8640.0,INR,"₹8,640"
1393266,Lead Generation Machine: Cold Email B2B Sales Master Course,/course/lead-generation-machine-the-cold-emailing-master-course/,True,14164,4.39474,4.45575,4.45575,2560,False,58,0,2017-10-13T19:52:00Z,2017-11-06T18:57:14Z,455.0,INR,₹455,8640.0,INR,"₹8,640"
1417986,Como ganhar sua primeira Moeda Digital Free.,/course/como-ganhar-sua-primeira-moeda-digital-free/,False,4362,4.15,4.40709,4.40709,178,False,5,0,2017-11-01T23:14:50Z,2018-04-09T19:19:46Z,,,,,,
1473066,Complete Cryptocurrency Investment Course 2018 (Beginner),/course/complete-cryptocurrency-investment-course-2017-beginner/,True,1979,4.15,3.90836,3.90836,33,False,27,0,2017-12-17T21:15:32Z,2017-12-21T22:48:10Z,455.0,INR,₹455,8640.0,INR,"₹8,640"
1479112,Identify & Define the Problem with Business Analysis,/course/identify-the-problem/,True,12207,4.51731,4.5961,4.5961,2654,False,69,0,2017-12-22T17:22:26Z,2018-02-23T22:37:34Z,455.0,INR,₹455,8640.0,INR,"₹8,640"
1484908,Implementing ISO 17100,/course/implementing-iso-171000/,True,49,3.95,3.95432,3.95432,13,False,10,0,2017-12-28T09:56:30Z,2018-01-18T14:21:40Z,455.0,INR,₹455,2240.0,INR,"₹2,240"
1500464,The Psychology Of The Ultimate Entrepreneur,/course/the-psychology-of-the-ultimate-entrepreneur/,True,4917,4.3169,4.14596,4.14596,196,False,47,0,2018-01-08T19:00:34Z,2018-02-04T15:55:43Z,455.0,INR,₹455,8640.0,INR,"₹8,640"
1551854,"Blockchain, bitcoin e criptovalute: corso pratico completo!",/course/blockchain-e-criptovalute-crea-le-tue-nuove-opportunita/,True,939,4.66667,4.62239,4.62239,216,False,72,0,2018-02-12T20:48:17Z,2018-05-15T14:35:37Z,455.0,INR,₹455,8640.0,INR,"₹8,640"
1569522,Solopreneur success guide: #2 Copywriting and eBook creation,/course/solopreneur-success-guide-2-copywriting-and-ebook-creation/,True,770,4.3125,4.4809,4.4809,8,False,18,0,2018-02-25T07:12:53Z,2018-03-02T14:31:20Z,455.0,INR,₹455,8000.0,INR,"₹8,000"
1576998,VestU 101 - Investment Principles,/course/vestu-101-investment-principles/,True,78,4.45,4.42863,4.42863,20,False,40,0,2018-03-02T02:42:35Z,2018-05-02T19:41:53Z,455.0,INR,₹455,1280.0,INR,"₹1,280"
1578238,Scope and Requirements,/course/scope-and-requirements/,True,49,3.95,3.81232,3.81232,10,False,190,0,2018-03-02T21:39:30Z,2018-03-06T16:03:36Z,455.0,INR,₹455,8640.0,INR,"₹8,640"
1593304,Matemática Financeira - Investimentos e Financiamentos.,/course/mtb-matematica-financeira/,True,155,4.2,4.19563,4.19563,30,False,12,0,2018-03-12T18:29:35Z,2018-05-03T18:35:31Z,455.0,INR,₹455,3840.0,INR,"₹3,840"
1629900,DIY Financial Planning: Home Purchases,/course/financial-planning-for-your-first-home-purchase/,True,38,4.5,4.28196,4.28196,4,False,14,0,2018-04-03T20:57:16Z,2018-04-06T13:36:42Z,455.0,INR,₹455,8320.0,INR,"₹8,320"
1635830,Trading Forex: Comienza a invertir en el Mercado de Forex,/course/5-estrategias-para-invertir-en-acciones-forex-y-criptomedas/,True,1117,4.32143,4.42856,4.42856,100,False,41,0,2018-04-07T22:21:14Z,2018-04-08T18:13:50Z,455.0,INR,₹455,8640.0,INR,"₹8,640"
1641638,Introductory Screenwriting,/course/introductory-screenwriting/,True,617,4.05,4.03927,4.03927,17,False,6,0,2018-04-11T16:25:32Z,2018-04-28T21:53:05Z,455.0,INR,₹455,1280.0,INR,"₹1,280"
1642824,Tally.ERP9 Basic with GST in Hindi,/course/tallyerp9-basic-with-gst/,True,130,4.25,4.55759,4.55759,33,False,160,0,2018-04-12T10:19:19Z,2018-05-04T12:48:37Z,455.0,INR,₹455,3200.0,INR,"₹3,200"
1647222,Quickbooks from Soup to Nuts for your Business,/course/quickbooks-from-soup-to-nuts-for-your-business/,True,11,4.6,4.58987,4.58987,5,False,13,0,2018-04-15T16:01:52Z,2018-04-19T15:49:05Z,455.0,INR,₹455,1600.0,INR,"₹1,600"
1669550,BlockChain Career Guide,/course/blockchaincareerguide/,True,95,3.05,2.97019,2.97019,19,False,16,0,2018-04-30T12:20:55Z,2018-06-06T21:16:07Z,455.0,INR,₹455,2240.0,INR,"₹2,240"
1670106,Business 101: CashFlow Forecasting For Service Business,/course/cash-flow-budgeting-and-forecasting-for-service-businesses/,True,150,4.05,4.03556,4.03556,23,False,17,0,2018-04-30T19:31:22Z,2018-04-30T22:18:33Z,455.0,INR,₹455,6400.0,INR,"₹6,400"
1688052,Workplace Mental Health: A Manager's Ultimate Guide,/course/managers-online-mental-health-awareness-course/,True,1037,4.4,4.40426,4.40426,58,False,50,0,2018-05-11T15:19:03Z,2018-05-16T01:34:21Z,455.0,INR,₹455,6400.0,INR,"₹6,400"
1702354,Token Economics,/course/token-economics/,True,111,3.1,2.92756,2.92756,28,False,10,0,2018-05-18T12:44:51Z,2018-05-18T17:04:40Z,455.0,INR,₹455,2240.0,INR,"₹2,240"
1751870,Aprenda Investir com pouco Dinheiro,/course/aprenda-investir-com-pouco-dinheiro/,True,734,4.5,4.53496,4.53496,179,False,38,0,2018-06-17T02:28:07Z,2018-06-20T17:57:29Z,455.0,INR,₹455,1920.0,INR,"₹1,920"
1756948,The UK Landlord Bible - All Required Documents Included,/course/uklandlordbible/,True,339,4.08333,4.25778,4.25778,6,False,24,0,2018-06-19T21:03:24Z,2018-07-04T19:37:07Z,455.0,INR,₹455,1280.0,INR,"₹1,280"
1757918,THE LOGICAL FRAMEWORK APPROACH,/course/the-logical-framework-approach/,True,1685,4.4902,4.53837,4.53837,106,False,6,0,2018-06-20T11:58:15Z,2018-06-20T21:41:05Z,455.0,INR,₹455,8640.0,INR,"₹8,640"
1788220,Scrivener 3 Essentials: From A-Z | For Busy Writers,/course/scrivener-3-essentials-from-a-z/,True,123,3.9375,3.55332,3.55332,8,False,73,0,2018-07-08T13:30:20Z,2018-07-19T00:43:18Z,455.0,INR,₹455,6400.0,INR,"₹6,400"
1789502,Depreciation Calculation & Fixed Assets- Presentations Only,/course/depreciation-calculation-fixed-assets-presentations-only/,True,649,4.42857,4.38676,4.38676,7,False,32,0,2018-07-09T09:47:03Z,2018-07-16T18:54:28Z,455.0,INR,₹455,1920.0,INR,"₹1,920"
1808436,Interpreting Financial Statements,/course/interpreting-financial-statements/,True,34,4.65,4.63941,4.63941,10,False,18,0,2018-07-19T20:13:16Z,2018-07-20T16:06:13Z,455.0,INR,₹455,3840.0,INR,"₹3,840"
1812448,Corporation Accounting-Excel Practice Problems Only,/course/corporation-accounting-excel-practice-problems-only/,True,855,3.25,3.09295,3.09295,2,False,23,0,2018-07-22T05:30:32Z,2018-08-16T19:14:11Z,455.0,INR,₹455,2240.0,INR,"₹2,240"
